context,fact,annotators,response,model,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall
"hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy
","your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","['shikib', 'maxine', 'mckenna']","ha ha i'm so shy
",Original Ground Truth,1,3,3,1,0,4
"hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy
","your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","['shikib', 'maxine', 'mckenna']","i only feel comfortable sharing my music with my dogs !
",New Human Generated,1,3,3,3,1,5
"hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub
","your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.
","['shikib', 'maxine', 'mckenna']","chicago has some great places to eat too .
",Original Ground Truth,1,3,3,2,0,4
"hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub
","your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.
","['shikib', 'maxine', 'mckenna']","maybe i'll take go for a walk and get a burger after .
",New Human Generated,1,3,3,3,1,5
"hi ! how are you ? i just moved from germany to usa , nice place so far !
that's great , i am a grad student
do you have any hobbies ? i really love sky diving , rollercoasters and cooking shows !
","your persona: i enjoy reading journals and guides related to psychology.
your persona: my parents taught me survival skills.
your persona: i am also a graduate student.
your persona: i walk dogs for a living.
your persona: i'm an avid kayaker.
","['shikib', 'maxine', 'mckenna']","kayaking and reading psychology books
",Original Ground Truth,1,3,3,3,1,4
"hi ! how are you ? i just moved from germany to usa , nice place so far !
that's great , i am a grad student
do you have any hobbies ? i really love sky diving , rollercoasters and cooking shows !
","your persona: i enjoy reading journals and guides related to psychology.
your persona: my parents taught me survival skills.
your persona: i am also a graduate student.
your persona: i walk dogs for a living.
your persona: i'm an avid kayaker.
","['shikib', 'maxine', 'mckenna']","wow skydiving sounds fun ! i enjoy reading journals about psychology and i love to kayak !
",New Human Generated,1,3,3,3,1,5
"hello , how are you today ? do you like rabbits ?
no i rather dog . i own two of them .
i volunteer at a shelter , they are adorable . what do you do ?
i'm a teacher and i love children .
kids are great . i donate a lot of my income to several childrens programs .
i would do that more often too if i had a larger income .
i do not have a large income , just believe in helping others .
do you like gardening ? i own a garden .
i do love gardening . i work in a shipyard .
i love the smell of the flowers in the air .
i do too , it is one of lifes greatest pleasures .
","your persona: i'm a woman.
your persona: i work as a school teacher.
your persona: i attend church every week.
your persona: i enjoy gardening and walking outdoors.
your persona: i have a dogs.
","['shikib', 'maxine', 'mckenna']","you life is so short . some time you forget about the little things .
",Original Ground Truth,1,2,3,3,0,4
"hello , how are you today ? do you like rabbits ?
no i rather dog . i own two of them .
i volunteer at a shelter , they are adorable . what do you do ?
i'm a teacher and i love children .
kids are great . i donate a lot of my income to several childrens programs .
i would do that more often too if i had a larger income .
i do not have a large income , just believe in helping others .
do you like gardening ? i own a garden .
i do love gardening . i work in a shipyard .
i love the smell of the flowers in the air .
i do too , it is one of lifes greatest pleasures .
","your persona: i'm a woman.
your persona: i work as a school teacher.
your persona: i attend church every week.
your persona: i enjoy gardening and walking outdoors.
your persona: i have a dogs.
","['shikib', 'maxine', 'mckenna']","one of my greatest pleasures is going to church every week . 
",New Human Generated,1,3,2,3,1,4
"hello ! who am i speaking with today ?
hi , my name is taylor . you might know my dad , he was a construction worker .
i may very well . what he in the military ? i was .
no , do you like coffee ? because i love it !
no . i don't drink coffee .
what ? well how about alcohol , i hate alcohol and the color pink
i don't drink alcohol . my favorite color is blue . navy blue .
","your persona: i don't drink alcohol.
your persona: i enjoy mountain biking as a hobby.
your persona: my father was a construction worker.
your persona: i hate the color pink.
your persona: i'm a huge coffee lover.
","['shikib', 'maxine', 'mckenna']","i love blue too , i also enjoy mountain biking . have you ever tried it ?
",Original Ground Truth,1,3,3,3,1,5
"hello ! who am i speaking with today ?
hi , my name is taylor . you might know my dad , he was a construction worker .
i may very well . what he in the military ? i was .
no , do you like coffee ? because i love it !
no . i don't drink coffee .
what ? well how about alcohol , i hate alcohol and the color pink
i don't drink alcohol . my favorite color is blue . navy blue .
","your persona: i don't drink alcohol.
your persona: i enjoy mountain biking as a hobby.
your persona: my father was a construction worker.
your persona: i hate the color pink.
your persona: i'm a huge coffee lover.
","['shikib', 'maxine', 'mckenna']","do you have any hobbies ? i enjoy mountain biking !
",New Human Generated,1,3,1,3,1,4
