context,fact,annotators,response,model,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,Understandable_score,Understandable_reasoning,Natural_score,Natural_reasoning,Maintains Context_score,Maintains Context_reasoning,Interesting_score,Interesting_reasoning,Uses Knowledge_score,Uses Knowledge_reasoning,Overall Quality_score,Overall Quality_reasoning
"are you a game of thrones fan ? 
 no not really . i do nt have hbo so i do nt watch , you ? 
 i think i have only watch about a few minutes of it ; i do n't get it or like the genre 
 i tried to read one of the books and it was crazy to follow , i m more likely to watch documentaries or movies 
 same here . i like hbo for some of the other things they air but not got . 

","_nofact
","['sm', 'fl', 'yf']",what else do you watch on hbo ? i need some good reccomendations .,New Human Generated,1,3,3,3,1,5,1.0,"""The response is understandable because it directly relates to the previous conversation about HBO and asks for recommendations, which is a logical follow-up question."", ""score"": 1}}",3.0,"""The response is a natural follow-up question to the conversation, as the user is asking for recommendations based on the previous discussion about HBO."", ""score"": 3}}",3.0,"""The response is on topic and strongly acknowledges the conversation history. The conversation started with Game of Thrones, but then shifted to other HBO content, and the response continues this discussion."", ""score"": 3}}",2.0,"""The response is somewhat engaging as it asks for recommendations, but it does not present any new or interesting information."", ""score"": 2}}",0.0,"""The response does not use the fact because there is no fact provided."", ""score"": 0}}",4.0,"""The response is relevant to the conversation and shows interest in the other person's preferences, but it's a fairly generic question and doesn't add much depth to the conversation."", ""score"": 4}}"
"hi , how are you ? 
 i am well . i am learning about animals and how many there are on our planet . do you know how many ? 
 i have no idea but would love to know . 
 there are over 7 million animal species on our planet , insects contribute 1 million to that number 
 wow . that 's a lot . i thought there would be a lot less than that . is there anything else you were surprised to read about in the article ? 
 the amount of living animals on the planet currently is 20 quintillion ! how fascinating ! 
 you 're right , that is fascinating . i just found out that jupiter has radio storms so strong that they can be picked up and heard by an am radio . 
 wow ! i am curious to try that and to see if it works . do you know of any other fun facts about jupiter ? 
 yes , according to canadian law , all radios are required to have at least 40 % of the music played be canadian . 
 interesting . i would not think that there was even that much music to play . do you know of any canadian musicians ? 
 yes , nickleback and avril lavigne ... and sorry , that was not about jupiter ... 
 it was about radios though which is very interesting . did you know that soldiers in world war ii made radios from razorblades and pencils ? 
 i did not . i thought it would have been more sophisticated than that . there is a website where you can listen to thousands of episodes of classic radio dramas for free 
 wow . i hope no one hiccups on the radio . do you know why we hiccup ? 
 i do not , why do we hiccup ? 

","- hiccups are a holdover from early evolution when early land animals had both gills and lungs .
","['sm', 'me', 'yf']","i do n't know . i know that hiccups are a holdover from early evolution when land animals had both gills and lungs .
",Argmax Decoding,1,2,2,3,1,4,1.0,"""The response is understandable because it directly answers the question about why we hiccup and provides a clear explanation."", ""score"": 1}}",3.0,"""The response seems to be something that a person would naturally say, as it directly addresses the question and provides a clear and concise answer."", ""score"": 3}}",3.0,"""The response directly answers the user's question about hiccups and provides a relevant fact, maintaining the context of the conversation."", ""score"": 3}}",3.0,"""The response presents an interesting fact about hiccups being a holdover from early evolution when land animals had both gills and lungs."", ""score"": 3}}",1.0,"""The response directly mentions the fact that hiccups are a holdover from early evolution when land animals had both gills and lungs."", ""score"": 1}}",5.0,"""The response directly addresses the user's question and provides a clear and interesting fact about hiccups. The fact is also relevant to the conversation and adds value to the discussion."", ""score"": 5}}"
"good evening . how are you ?
","your persona: my brother is older than me.
your persona: i hate math class.
your persona: i ride the bus to school.
your persona: i'm on the soccer team.
your persona: i am 13 years old.
","['shikib', 'maxine', 'yulan']","i'm 13 with an older brother .
",Original Ground Truth,1,3,2,3,1,4,1.0,"""The response is understandable because it clearly states the person's age and mentions having an older brother, which is relatable to the context of introducing oneself."", ""score"": 1}}",3.0,"""The response seems to naturally incorporate the given facts about the persona's age and having an older brother."", ""score"": 3}}",1.0,"""The response does not relate to the greeting and does not serve as a valid continuation of the conversation."", ""score"": 1}}",1.0,"""The response is dull because it only states the user's age and mentions having an older brother without adding any interesting or unique information."", ""score"": 1}}",1.0,"""The response mentions the age and having an older brother, which are part of the given facts."", ""score"": 1}}",3.0,"""The response is brief and only mentions two aspects of the persona's characteristics, but it is a valid and clear response."", ""score"": 3}}"
"the telephone is a great invention , 
 absolutely ! love the telephone ! 
 it makes life a lot more easier , i can check the mail , call and even watch funny videos just by using my phone 
 an iphone has more computing power than the entire us nuclear icbm deterrent . 
 that is kind of scary i own an iphone , did nt know i was packing so much power in my front pocket 
 yeah , better be careful ! people use phones for eveything now , i ve seen in movies they attach it to bombs and stuff . 
 powerful weapons if used in the wrong hands , scary since everyone has access to them 
 yeah , seriously . i hear there 's a company that will donate a day of clean water for every minute you do n't use your phone ! 
 that is really admirable , donating water to children in need , an awesome campaign 
 yeah great thing to do , water is essential . 
 it is , just like phones have also become essential in our lives , interesting fact about phonebooks , its impossible to separate two of them with their pages fully overlapped 
 lol i never tried but i believe you . do you like clothing ? did you know polo shirts were actually meant for tennis players ? 
 i did nt know that , always thought it was meant for the polo sport or maybe that the polo brand created them 
 same here , yeah a tennis player created them 
 i looks like polo player took the credit then , did you hear about the cultural revolution in china ? 
 no i have nt what s that about ? 

","at billy mays ' funeral the pallbearers wore blue shirts and khaki pants
","['sm', 'fl', 'yf']","basically the more clothes you wore the better you looked to others . 
",Original Ground Truth,1,3,3,2,0,4,0.0,"""The response does not relate to the context or the fact provided. The conversation was about phones, their impact, and some interesting facts, and then suddenly it shifts to clothing and how the more clothes you wear, the better you look, without any connection to the previous discussion or the fact about Billy Mays' funeral."", ""score"": 0}}",1.0,"""The response does not seem to be related to the fact provided and does not follow naturally from the conversation."", ""score"": 1}}",1.0,"""The response does not relate to the conversation history and drastically changes the topic."", ""score"": 1}}",1.0,"""The response does not present any interesting fact or unique perspective, it's a generic statement."", ""score"": 1}}",0.0,"""The response does not mention or refer to the fact about Billy Mays' funeral at all."", ""score"": 0}}",1.0,"""The response does not relate to the fact provided and seems to be a random statement about clothes"", ""score"": 1}}"
"hello , how are you doing today ?
i am okay . i wish my children would visit more , though .
i am sorry to hear that . i turn to my spouse in times like that .
i do , as well . though my husband liked me more when i was younger and prettier .
that's unfortunate . have you talked to anyone about this ?
","your persona: i have two grown children who never visit.
your persona: i used to be pretty but time has not been kind.
your persona: i'm a 56 year old woman.
your persona: i used to be a painter but now i'm a housekeeper.
","['shikib', 'maxine', 'mckenna']","no , i keep to myself . my housekeeping job isn't exactly a social one .
",Original Ground Truth,1,3,3,2,1,5,1.0,"""The response is understandable given the previous context. The speaker is sharing their personal experience and feelings, and the mention of their housekeeping job is a relevant detail that adds to the conversation."", ""score"": 1}}",3.0,"""The response seems to be something that a person would naturally say, given the context and the persona's characteristics."", ""score"": 3}}",3.0,"""The response acknowledges the conversation history by mentioning the user's feelings of loneliness and isolation, and also refers to their current job as a housekeeper, which is a relevant continuation of the conversation."", ""score"": 3}}",2.0,"""The response is somewhat personal and reveals some details about the speaker's life, but it does not present any new or surprising information"", ""score"": 2}}",0.2,"""The response mentions the speaker's job as a housekeeper, which is part of their persona, but does not directly address the other aspects of their persona, such as having two grown children who never visit, used to be pretty, or being 56 years old."", ""score"": 0.2}}",3.0,"""The response is somewhat relevant to the conversation, but it lacks depth and does not fully address the user's concerns. The user is sharing personal struggles, and the response does not offer much empathy or support. However, it does reveal some personal details about the speaker, which could potentially lead to a more interesting conversation."", ""score"": 3}}"
"do you like football ? 

","the university of iowa 's locker room for visiting football teams is completely painted pink
","['sm', 'er', 'yf']","i love it . do you know what color is the u of iowa visitor locker room ? 
",Original Ground Truth,1,3,3,3,1,4,1.0,"""The response is understandable as it is related to football and asks a question about the University of Iowa's locker room, which is a relevant topic in the context of football."", ""score"": 1}}",3.0,"""The response seems to be naturally leading to a conversation about the University of Iowa's locker room, which is related to football."", ""score"": 3}}",2.0,"""The response is somewhat related to the conversation history, but it shifts the topic to the color of a locker room, which is not directly related to the discussion of football or favorite positions."", ""score"": 2}}",2.0,"""The response is somewhat interesting as it references a specific fact about the University of Iowa's locker room, but it does not directly state the fact, instead asking a question."", ""score"": 2}}",1.0,"""The response uses the fact well by referencing the University of Iowa's locker room for visiting football teams being painted pink."", ""score"": 1}}",3.0,"""The response is relevant to the conversation about football and shows interest in the topic, but it does not directly relate to the fact provided and seems to be asking for information rather than sharing it."", ""score"": 3}}"
"so , i 'm reading the latest film from studio ghibli is out the tale of princess kaguya . dunno if you 're familiar with them , but studio ghibli has made a lot of great animated films , like spirited away , and princess mononoke 
 i do n't think i have heard of them . i have heard that one of the directors recently passed away , and his last film was nominated for an academy award 
 yeah , sadly , disney ( which owns the american rights to the films ) does n't tend to promote them very much . i think they 're worried they 'll cut into their "" home grown "" market . anyway , dunno if you even like animated movies , but they 're worth checking out . 
 i do n't watch them very often . apparently there was a showing of the recent film in a park in d.c . that 's one u.s . city i have n't been to 
 sadly , i have n't been to dc either , although i 've always wanted to visit there . apparently there 's a lot of interesting going down this summer . they 're having a crab feast at the navy - marine corps stadium . they 'll have 100 gallons of crab soup ! can you imagine that much soup ? 

","from left , emma baker , daniel saperstein and taylor mulitz of flasher will perform this summer 's final fort reno concert . ( jared soares for the washington post ) monday , july 30 25th birthday celebration at national postal museum : celebrate 25 years of this institution devoted to the long history of the u.s . postal service with daytime festivities that include cupcakes , birthday postcards , a photo booth and a special scavenger hunt with prizes . 11 a.m. to 2 p.m. free . tuesday , july 31 "" the color purple "" at kennedy center : the tony award - winning musical revival , based on the pulitzer prize - winning alice walker novel of the same name , features jazz , ragtime , gospel and blues with a story about an african american woman named celie surviving poverty in the south during the 1930s . through aug . 26 . $ 69-$149 . ask a harry potter scholar at southeast neighborhood library : come to this talk from tolanda henderson , a librarian from george washington university , who has used the j.k . rowling book series as a text in academia . commune with other muggles who prove that it 's not just kids and young adults who obsess about the boy who lived . 7 p.m. free . wednesday , aug . 1 rico nasty at the fillmore silver spring : two summers ago , rico nasty was a teenage loudmouth from the maryland suburbs , generating buzz on youtube for spitting surly , rainbow - tinted rhymes . now , after signing a deal with atlantic records , the 21-year - old singer is on her way to becoming one of the brightest voices in rap music .
","['sm', 'me', 'er']","yes , i think it was a great show , you should check it out and get it up . have you ever listened to ella fitzgerald ?
",Nucleus Decoding (p = 0.7),0,3,1,2,0,3,0.0,"""The response is not understandable in the context of the history. The conversation was about Studio Ghibli and animated films, but the response suddenly changes the topic to a show and Ella Fitzgerald without any connection to the previous conversation."", ""score"": 0}}",1.0,"""The response seems unrelated to the context and fact provided, and the sentence structure is awkward."", ""score"": 1}}",1.0,"""The response does not serve as a valid continuation of the conversation history. It drastically changes topic and ignores the conversation about Studio Ghibli and the events in D.C."", ""score"": 1}}",1.0,"""The response does not present any interesting fact or unique opinion, it's a generic suggestion to check out a show and a question about listening to Ella Fitzgerald."", ""score"": 1}}",0.0,"""The response does not mention or refer to the fact at all."", ""score"": 0}}",1.0,"""The response is not relevant to the conversation and does not address the topic of Studio Ghibli or the events in DC. The mention of Ella Fitzgerald seems out of place and unrelated to the previous discussion."", ""score"": 1}}"
"hi , how is it going . my name is michelle .
hi . i'm justin . i just got done relaxing in the tub .
that sounds great . i love to tan . what sort of music do you listen to ?
i listen to a bit of everything . it helps me focus for my chess tournaments
britney spears is my favorite ! who is yours ?
right now i listen to a lot of mumford and sons .
do you have a weight problem like me ?
i am a little self conscious . thirty is not as easy as i remember twenty being .
what do you like to eat ? i diet all the time .
i tend to stay in and cook for myself since i quit drinking a few years ago .
that is probably a lot healthier and saves you money . i eat out all the time .
my dad had me hooked on high protein foods like fish and chicken when i was training .
what are you training for ?
","your persona: i'm in my thirties.
your persona: i love taking bubble baths.
your persona: i like to play chess.
your persona: i do not drink alcohol.
","['shikib', 'mckenna', 'yulan']","i am competing for a national chess tournament . it helps me keep focus
",Original Ground Truth,1,3,3,3,1,5,1.0,"""The response is understandable given the previous context. The conversation has established that the speaker enjoys chess and is focused on it, so it makes sense for them to be competing in a national chess tournament."", ""score"": 1}}",3.0,"""The response seems to be something that a person would naturally say, given the context of the conversation and the persona's characteristics."", ""score"": 3}}",3.0,"""The response is on topic and strongly acknowledges the conversation history. The conversation was about chess tournaments and the response continues to discuss the topic of chess tournaments."", ""score"": 3}}",3.0,"""The response mentions a national chess tournament, which is a unique and interesting fact. It also relates to the persona's interest in chess, making it more engaging."", ""score"": 3}}",1.0,"""The response mentions competing for a national chess tournament, which aligns with the fact that the persona likes to play chess. This shows a good use of the fact."", ""score"": 1}}",5.0,"""The response is relevant to the conversation and aligns with the persona's characteristics, such as playing chess and being focused. It also adds a new interesting fact about competing in a national chess tournament, which can lead to further conversation."", ""score"": 5}}"
"my name is joan , and i live in illinois . i'm a kindergarten teacher .
hello joan ! i'm chrissy from minnesota . i'm building a robot for my work .
that sounds exciting ! i'm clumsy with electronics .
","your persona: i helped design the game starcraft.
your persona: i'm working on a building a robot to be my body double.
your persona: i have an allergy to water.
your persona: i am a famous twitch streamer.
your persona: i am a recluse.
","['shikib', 'maxine', 'mckenna']","i am a huge sports fan . i am a huge fan of gaming .
",Seq2Seq,1,3,1,3,1,3,0.0,"""The response does not relate to the context of the conversation, which is about the individuals' jobs and locations. The response suddenly shifts to being a sports and gaming fan without any connection to the previous conversation."", ""score"": 0}}",1.0,"""The response does not seem to be related to the context or the fact provided. It appears to be a non-sequitur and does not flow naturally from the conversation."", ""score"": 1}}",1.0,"""The response does not relate to the conversation about the person's name, location, and job as a kindergarten teacher, or the other person's work on building a robot. It abruptly changes the topic to sports and gaming."", ""score"": 1}}",1.0,"""The response does not present any interesting fact or unique information. It is a generic statement about being a fan of sports and gaming."", ""score"": 1}}",0.0,"""The response does not mention or refer to the fact at all."", ""score"": 0}}",1.0,"""The response does not relate to the context or the provided facts. It seems to be a random statement about being a sports and gaming fan, which does not contribute to the conversation or show any connection to the personas or the topic of building a robot."", ""score"": 1}}"
"d.c . area and all of its attractive locations , sure would be nice to visit it 
 i totally agree with you . i would love to go to the national museum of natural history . 
 i would love to go there too , i hear the building is just awesome 
 they say there are some great coffee shops in the area too . some politicians have been seen at them . 
 yeah around the capitol hill area there is a great coffee store called port city java 
 i bet there are some great restaurants too . 
 yeah there is this great thai place over on takoma park , really good , 
 i imagine that one is great for if you want to eat healthy . they probably have lots of vegetables and tofu . 
 yeah i hear they have one of the best tofus in the country , so it would be nice to eat there specially if you have food allergies 
 do you know if the area has any great theaters for movies and plays ? 
 thare are , some of them are the kennedy center , imagination stage , adventure theater and ipic theatre , a lot of choices there 
 i bet the ipic theater would be great to see incredibles 2 on . 
 i bet it was , its a nice stage , did you watch that movie by the way ? 
 i have n't seen it yet . i have seen the original though . have you seen either or both of them ? 
 i have seen both and i must say i liked the first one better althought the cast of the 2nd part got an upgrade 
 i 'm not familiar with the cast of the second one . are they big name actors / actresses ? 
 yeah have you watched breaking bad ? well the actor that played saul is one of the new voices 
 oh okay ! say , i heard that the director did one of the voices too . i think he did edna mode . 
 yeah he did , its interesting how he picked the cast for the movie 

","13 years before the movie "" incredibles ii "" came out , there was a sequel to the first incredibles that exists in a video game form , and is called "" the incredibles : rise of the underminer "" .
","['sm', 'me', 'er']","yeah , he was the perfect director for the movie . i guess he was in the movie as a kid
",Nucleus Decoding (p = 0.7),1,3,3,2,0,3,0.0,"""The response does not make sense in the context of the conversation. The conversation is about the movie 'Incredibles II' and its cast, but the response mentions the director being in the movie as a kid, which is unrelated and unclear."", ""score"": 0}}",1.0,"""The response does not seem to be related to the conversation and the fact provided. It appears to be a non-sequitur and does not flow naturally from the previous statements."", ""score"": 1}}",1.0,"""The response does not serve as a valid continuation of the conversation history. It introduces new information about the director being in the movie as a kid, which is not related to the previous conversation about the cast of the movie or the director's involvement in the movie."", ""score"": 1}}",1.0,"""The response does not present any new or interesting information and seems unrelated to the conversation about the movie 'Incredibles II'."", ""score"": 1}}",0.0,"""The response does not mention or refer to the fact about the video game sequel to the first Incredibles at all."", ""score"": 0}}",1.0,"""The response does not relate to the fact provided and seems out of context. It mentions the director being in the movie as a kid, which is not relevant to the conversation or the fact about the video game sequel."", ""score"": 1}}"
